2024-02-11 11:59:12,414 INFO    StreamThr :23483 [internal.py:wandb_internal():86] W&B internal server running at pid: 23483, started at: 2024-02-11 11:59:12.413416
2024-02-11 11:59:12,416 DEBUG   HandlerThread:23483 [handler.py:handle_request():146] handle_request: status
2024-02-11 11:59:12,418 INFO    WriterThread:23483 [datastore.py:open_for_write():87] open: /Users/aakashagarwal/Documents/GitHub/palindrome_classifier/wandb/run-20240211_115912-rwt893rp/run-rwt893rp.wandb
2024-02-11 11:59:12,419 DEBUG   SenderThread:23483 [sender.py:send():382] send: header
2024-02-11 11:59:12,439 DEBUG   SenderThread:23483 [sender.py:send():382] send: run
2024-02-11 11:59:13,320 INFO    SenderThread:23483 [dir_watcher.py:__init__():211] watching files in: /Users/aakashagarwal/Documents/GitHub/palindrome_classifier/wandb/run-20240211_115912-rwt893rp/files
2024-02-11 11:59:13,321 INFO    SenderThread:23483 [sender.py:_start_run_threads():1136] run started: rwt893rp with start time 1707632952.414614
2024-02-11 11:59:13,328 DEBUG   HandlerThread:23483 [handler.py:handle_request():146] handle_request: check_version
2024-02-11 11:59:13,328 DEBUG   SenderThread:23483 [sender.py:send_request():409] send_request: check_version
2024-02-11 11:59:13,394 DEBUG   HandlerThread:23483 [handler.py:handle_request():146] handle_request: run_start
2024-02-11 11:59:13,399 DEBUG   HandlerThread:23483 [system_info.py:__init__():27] System info init
2024-02-11 11:59:13,399 DEBUG   HandlerThread:23483 [system_info.py:__init__():42] System info init done
2024-02-11 11:59:13,399 INFO    HandlerThread:23483 [system_monitor.py:start():194] Starting system monitor
2024-02-11 11:59:13,399 INFO    SystemMonitor:23483 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-11 11:59:13,399 INFO    HandlerThread:23483 [system_monitor.py:probe():214] Collecting system info
2024-02-11 11:59:13,400 DEBUG   HandlerThread:23483 [system_info.py:probe():151] Probing system
2024-02-11 11:59:13,400 INFO    SystemMonitor:23483 [interfaces.py:start():190] Started cpu monitoring
2024-02-11 11:59:13,400 INFO    SystemMonitor:23483 [interfaces.py:start():190] Started disk monitoring
2024-02-11 11:59:13,402 INFO    SystemMonitor:23483 [interfaces.py:start():190] Started gpuapple monitoring
2024-02-11 11:59:13,403 INFO    SystemMonitor:23483 [interfaces.py:start():190] Started memory monitoring
2024-02-11 11:59:13,403 INFO    SystemMonitor:23483 [interfaces.py:start():190] Started network monitoring
2024-02-11 11:59:13,406 DEBUG   HandlerThread:23483 [system_info.py:_probe_git():136] Probing git
2024-02-11 11:59:13,427 DEBUG   HandlerThread:23483 [system_info.py:_probe_git():144] Probing git done
2024-02-11 11:59:13,427 DEBUG   HandlerThread:23483 [system_info.py:probe():199] Probing system done
