X,Y,Predicted,Number of 1's,F1,F2,F3,F4,F5,F6,A2,Z2,A1,Z1
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0,0,0,0,0,0,0,1.0,7.56,"[0.0, 1.43, 1.42, 0.0]","[0.0, 1.43, 1.42, -0.56]"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,1,0,0,0,0,0,0,0.0,-12.9,"[0.0, 0.0, 0.0, 0.0]","[-6.51, -3.16, -0.92, -3.61]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,1,0,0,0,0,0,0,0.02,-4.0,"[0.0, 0.54, 0.7, 0.0]","[-1.88, 0.54, 0.7, -1.64]"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,0,2,0,0,0,0,0,0,0.0,-12.9,"[0.0, 0.0, 0.0, 0.0]","[-8.39, -4.05, -1.64, -4.7]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,0,1,0,0,0,0,0,0,0.0,-12.9,"[0.0, 0.0, 0.0, 0.0]","[-3.82, -0.25, -0.09, -2.76]"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,0,2,0,0,0,0,0,0,0.0,-12.9,"[0.0, 0.0, 0.0, 0.0]","[-10.33, -4.84, -2.43, -5.81]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0,0,2,0,0,0,0,0,0,0.0,-12.9,"[0.0, 0.0, 0.0, 0.0]","[-5.71, -1.13, -0.81, -3.84]"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,0,3,0,0,0,0,0,0,0.0,-12.9,"[0.0, 0.0, 0.0, 0.0]","[-12.21, -5.72, -3.15, -6.9]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,0,1,0,0,0,0,0,0,0.0,-24.86,"[7.58, 4.79, 4.4, 3.75]","[7.58, 4.79, 4.4, 3.75]"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0,0,2,0,0,0,0,0,0,0.0,-6.67,"[1.07, 0.2, 2.06, 0.69]","[1.07, 0.2, 2.06, 0.69]"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",0,0,2,0,0,0,0,0,0,0.0,-18.37,"[5.69, 3.9, 3.68, 2.66]","[5.69, 3.9, 3.68, 2.66]"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",0,0,3,0,0,0,0,0,0,0.03,-3.58,"[0.0, 0.0, 1.34, 0.0]","[-0.82, -0.69, 1.34, -0.39]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,0,2,0,0,0,0,0,0,0.0,-11.21,"[3.75, 3.11, 2.89, 1.55]","[3.75, 3.11, 2.89, 1.55]"
"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0,0,3,0,0,0,0,0,0,0.0,-9.09,"[0.0, 0.0, 0.55, 0.0]","[-2.75, -1.48, 0.55, -1.51]"
